humanGene	macaqueGene	marmosetGene	mouseGene	humanOrthNum	macaqueOrthNum	marmosetOrthNum	 mouseOrthNum
ADAMTS17	ADAMTS17	ADAMTS17	Adamts17	1	1	1	1
ADAMTS18	ADAMTS18	ADAMTS18	Adamts18	1	1	1	1
ADAMTS19	ADAMTS19	ADAMTS19	Adamts19	1	1	1	1
ADAMTS2	ADAMTS2	ADAMTS2	Adamts2	1	1	1	1
ADAMTS20	ADAMTS20	ADAMTS20	Adamts20	1	1	1	1
ADAMTS3	ADAMTS3	ADAMTS3	Adamts3	1	1	1	1
ADAMTS4	ADAMTS4	ADAMTS4	Adamts4	1	1	1	1
ADAMTS5	ADAMTS5	ADAMTS5	Adamts5	1	1	1	1
ADAMTS6	ADAMTS6	ADAMTS6	Adamts6	1	1	1	1
ADAMTS7	ADAMTS7	ADAMTS7	Adamts7	1	1	1	1
ADAMTS8	ADAMTS8	ADAMTS8	Adamts8	1	1	1	1
ADAMTS9	ADAMTS9	ADAMTS9	Adamts9	1	1	1	1
ADAMTSL2	ADAMTSL2	ADAMTSL2	Adamtsl2	1	1	1	1
ADAMTSL3	ENSMFAG00000002541	ADAMTSL3	Adamtsl3	1	1	1	1
ADAMTSL4	ADAMTSL4	ADAMTSL4	Adamtsl4	1	1	1	1
ADAMTSL5	ADAMTSL5	ADAMTSL5	Adamtsl5	1	1	1	1
ADAP1	ADAP1	ADAP1	Adap1	1	1	1	1
ADAP2	ADAP2	ADAP2	Adap2	1	1	1	1
ADAR	ADAR	ADAR	Adar	1	1	1	1
ADARB1	ADARB1	ADARB1	Adarb1	1	1	1	1
ADARB2	ADARB2	ADARB2	Adarb2	1	1	1	1
ADAT1	ADAT1	ADAT1	Adat1	1	1	1	1
ADAT2	ADAT2	ADAT2	Adat2	1	1	1	1
ADCK1	ADCK1	ADCK1	Adck1	1	1	1	1
ADCK5	ADCK5	ADCK5	Adck5	1	1	1	1
ADCY1	ADCY1	ADCY1	Adcy1	1	1	1	1
ADCY10	ADCY10	ADCY10	Adcy10	1	1	1	1
ADCY2	ADCY2	ADCY2	Adcy2	1	1	1	1
ADCY3	ADCY3	ADCY3	Adcy3	1	1	1	1
ADCY4	ADCY4	ADCY4	Adcy4	1	1	1	1
ADCY5	ADCY5	ADCY5	Adcy5	1	1	1	1
ADCY6	ADCY6	ADCY6	Adcy6	1	1	1	1
ADCY7	ADCY7	ADCY7	Adcy7	1	1	1	1
ADCY8	ADCY8	ADCY8	Adcy8	1	1	1	1
ADCYAP1	ADCYAP1	ENSCJAG00000000097	Adcyap1	1	1	1	1
ADCYAP1R1	ADCYAP1R1	ADCYAP1R1	Adcyap1r1	1	1	1	1
ADD1	ADD1	ADD1	Add1	1	1	1	1
ADD2	ADD2	ADD2	Add2	1	1	1	1
ADD3	ADD3	ADD3	Add3	1	1	1	1
ADGB	ADGB	ADGB	Adgb	1	1	1	1
ADGRA1	ADGRA1	ADGRA1	Adgra1	1	1	1	1
ADGRA2	ADGRA2	ADGRA2	Adgra2	1	1	1	1
ADGRA3	ADGRA3	ADGRA3	Adgra3	1	1	1	1
ADGRB2	ADGRB2	ADGRB2	Adgrb2	1	1	1	1
ADGRB3	ADGRB3	ADGRB3	Adgrb3	1	1	1	1
ADGRD1	ADGRD1	ENSCJAG00000003983	Adgrd1	1	1	1	1
ADGRE1	ADGRE1	ADGRE1	Adgre1	1	1	1	1
ADGRE5	ADGRE5	ADGRE5	Adgre5	1	1	1	1
ADGRF1	ADGRF1	ADGRF1	Adgrf1	1	1	1	1
ADGRF3	ADGRF3	ADGRF3	Adgrf3	1	1	1	1
ADGRF4	ADGRF4	ADGRF4	Adgrf4	1	1	1	1
ADGRF5	ADGRF5	ADGRF5	Adgrf5	1	1	1	1
ADGRG1	ADGRG1	ADGRG1	Adgrg1	1	1	1	1
ADGRG2	ADGRG2	ADGRG2	Adgrg2	1	1	1	1
ADGRG3	ADGRG3	ADGRG3	Adgrg3	1	1	1	1
ADGRG4	ADGRG4	ADGRG4	Adgrg4	1	1	1	1
ADGRG5	ADGRG5	ADGRG5	Adgrg5	1	1	1	1
ADGRG6	ADGRG6	ADGRG6	Adgrg6	1	1	1	1
ADGRG7	ADGRG7	ADGRG7	Adgrg7	1	1	1	1
ADGRL1	ADGRL1	ADGRL1	Adgrl1	1	1	1	1
ADGRL2	ADGRL2	ADGRL2	Adgrl2	1	1	1	1
ADGRL3	ADGRL3	ADGRL3	Adgrl3	1	1	1	1
ADGRL4	ADGRL4	ADGRL4	Adgrl4	1	1	1	1
ADGRV1	ADGRV1	ADGRV1	Adgrv1	1	1	1	1
ADH4	ADH4	ADH4	Adh4	1	1	1	1
ADH5	ADH5	ADH5	Adh5	1	1	1	1
ADH7	ADH1B	ADH7	Adh7	1	1	1	1
ADHFE1	ADHFE1	ADHFE1	Adhfe1	1	1	1	1
ADI1	ADI1	ADI1	Adi1	1	1	1	1
ADIG	ADIG	ADIG	Adig	1	1	1	1
ADIPOQ	ADIPOQ	ADIPOQ	Adipoq	1	1	1	1
ADIPOR1	ADIPOR1	ADIPOR1	Adipor1	1	1	1	1
ADIPOR2	ADIPOR2	ADIPOR2	Adipor2	1	1	1	1
ADK	ADK	ADK	Adk	1	1	1	1
ADM	ADM	ADM	Adm	1	1	1	1
ADM2	ADM2	ADM2	Adm2	1	1	1	1
ADNP	ADNP	ADNP	Adnp	1	1	1	1
ADNP2	ADNP2	ADNP2	Adnp2	1	1	1	1
ADO	ADO	ADO	Ado	1	1	1	1
ADORA1	ADORA1	ADORA1	Adora1	1	1	1	1
ADORA2B	ADORA2B	ADORA2B	Adora2b	1	1	1	1
ADPGK	ADPGK	ADPGK	Adpgk	1	1	1	1
ADPRH	ADPRH	ADPRH	Adprh	1	1	1	1
ADPRHL1	ENSMFAG00000034058	ADPRHL1	Adprhl1	1	1	1	1
ADPRHL2	ADPRHL2	ADPRHL2	Adprhl2	1	1	1	1
ADPRM	ADPRM	ADPRM	Adprm	1	1	1	1
ADRA1A	ADRA1A	ADRA1A	Adra1a	1	1	1	1
ADRA1B	ADRA1B	ADRA1B	Adra1b	1	1	1	1
ADRA1D	ADRA1D	ADRA1D	Adra1d	1	1	1	1
ADRA2B	ENSMFAG00000035322	ADRA2B	Adra2b	1	1	1	1
ADRB1	ADRB1	ADRB1	Adrb1	1	1	1	1
ADRB2	B2AR	ADRB2	Adrb2	1	1	1	1
ADRB3	B3AR	ADRB3	Adrb3	1	1	1	1
ADSL	ADSL	ADSL	Adsl	1	1	1	1
ADSS	ADSS	ADSS	Adss	1	1	1	1
ADSSL1	ADSSL1	ADSSL1	Adssl1	1	1	1	1
ADTRP	ADTRP	ADTRP	Adtrp	1	1	1	1
AEBP1	AEBP1	AEBP1	Aebp1	1	1	1	1
AEBP2	AEBP2	AEBP2	Aebp2	1	1	1	1
AEN	AEN	AEN	Aen	1	1	1	1
AES	AES	AES	Aes	1	1	1	1
AFAP1	AFAP1	AFAP1	Afap1	1	1	1	1
AFAP1L1	AFAP1L1	AFAP1L1	Afap1l1	1	1	1	1
AFAP1L2	AFAP1L2	AFAP1L2	Afap1l2	1	1	1	1
AFDN	AFDN	AFDN	Afdn	1	1	1	1
AFF1	AFF1	AFF1	Aff1	1	1	1	1
AFF3	AFF3	AFF3	Aff3	1	1	1	1
AFF4	AFF4	AFF4	Aff4	1	1	1	1
AFG1L	AFG1L	AFG1L	Afg1l	1	1	1	1
AFG3L2	AFG3L2	AFG3L2	Afg3l2	1	1	1	1
AFM	AFM	AFM	Afm	1	1	1	1
AFMID	AFMID	AFMID	Afmid	1	1	1	1
AFP	AFP	AFP	Afp	1	1	1	1
AFTPH	AFTPH	AFTPH	Aftph	1	1	1	1
AGA	AGA	AGA	Aga	1	1	1	1
AGAP1	AGAP1	AGAP1	Agap1	1	1	1	1
AGAP2	AGAP2	AGAP2	Agap2	1	1	1	1
AGAP3	AGAP3	AGAP3	Agap3	1	1	1	1
AGBL1	AGBL1	ENSCJAG00000013146	Agbl1	1	1	1	1
AGBL2	AGBL2	AGBL2	Agbl2	1	1	1	1
AGBL3	AGBL3	AGBL3	Agbl3	1	1	1	1
AGBL4	AGBL4	AGBL4	Agbl4	1	1	1	1
AGBL5	AGBL5	AGBL5	Agbl5	1	1	1	1
AGER	AGER	AGER	Ager	1	1	1	1
AGFG1	AGFG1	AGFG1	Agfg1	1	1	1	1
AGFG2	AGFG2	AGFG2	Agfg2	1	1	1	1
AGGF1	AGGF1	AGGF1	Aggf1	1	1	1	1
AGMAT	AGMAT	AGMAT	Agmat	1	1	1	1
AGMO	AGMO	AGMO	Agmo	1	1	1	1
AGO1	AGO1	AGO1	Ago1	1	1	1	1
AGO2	AGO2	AGO2	Ago2	1	1	1	1
AGO3	AGO3	AGO3	Ago3	1	1	1	1
AGO4	AGO4	AGO4	Ago4	1	1	1	1
AGPAT1	AGPAT1	AGPAT1	Agpat1	1	1	1	1
AGPAT2	AGPAT2	AGPAT2	Agpat2	1	1	1	1
AGPAT3	AGPAT3	AGPAT3	Agpat3	1	1	1	1
AGPAT4	AGPAT4	AGPAT4	Agpat4	1	1	1	1
AGPS	AGPS	AGPS	Agps	1	1	1	1
AGR2	AGR2	AGR2	Agr2	1	1	1	1
AGR3	AGR3	AGR3	Agr3	1	1	1	1
AGRN	AGRN	AGRN	Agrn	1	1	1	1
AGRP	AGRP	AGRP	Agrp	1	1	1	1
AGT	AGT	AGT	Agt	1	1	1	1
AGTPBP1	AGTPBP1	AGTPBP1	Agtpbp1	1	1	1	1
AGTR2	AGTR2	AGTR2	Agtr2	1	1	1	1
AGTRAP	AGTRAP	AGTRAP	Agtrap	1	1	1	1
AGXT	AGXT	AGXT	Agxt	1	1	1	1
AGXT2	AGXT2	AGXT2	Agxt2	1	1	1	1
AHCTF1	AHCTF1	AHCTF1	Ahctf1	1	1	1	1
AHCYL1	AHCYL1	AHCYL1	Ahcyl1	1	1	1	1
AHCYL2	AHCYL2	AHCYL2	Ahcyl2	1	1	1	1
AHDC1	AHDC1	AHDC1	Ahdc1	1	1	1	1
AHI1	AHI1	AHI1	Ahi1	1	1	1	1
AHNAK	AHNAK	AHNAK	Ahnak	1	1	1	1
AHRR	PDCD6	AHRR	Ahrr	1	1	1	1
AHSA1	AHSA1	AHSA1	Ahsa1	1	1	1	1
AHSA2	ENSMFAG00000042177	ENSCJAG00000034768	Ahsa2	1	1	1	1
AHSG	AHSG	AHSG	Ahsg	1	1	1	1
AICDA	AICDA	AICDA	Aicda	1	1	1	1
AIDA	AIDA	AIDA	Aida	1	1	1	1
AIF1	AIF1	AIF1	Aif1	1	1	1	1
AIF1L	AIF1L	AIF1L	Aif1l	1	1	1	1
AIFM1	AIFM1	AIFM1	Aifm1	1	1	1	1
AIFM2	AIFM2	AIFM2	Aifm2	1	1	1	1
AIFM3	AIFM3	AIFM3	Aifm3	1	1	1	1
AIG1	AIG1	AIG1	Aig1	1	1	1	1
AIM2	AIM2	AIM2	Aim2	1	1	1	1
AIMP1	AIMP1	AIMP1	Aimp1	1	1	1	1
AIMP2	AIMP2	AIMP2	Aimp2	1	1	1	1
AIP	AIP	AIP	Aip	1	1	1	1
AIPL1	AIPL1	AIPL1	Aipl1	1	1	1	1
AIRE	AIRE	AIRE	Aire	1	1	1	1
AJAP1	AJAP1	AJAP1	Ajap1	1	1	1	1
AJUBA	AJUBA	AJUBA	Ajuba	1	1	1	1
AK1	AK1	AK1	Ak1	1	1	1	1
AK3	AK3	AK3	Ak3	1	1	1	1
AK4	AK4	AK4	Ak4	1	1	1	1
AK5	AK5	AK5	Ak5	1	1	1	1
AK7	AK7	AK7	Ak7	1	1	1	1
AK8	AK8	AK8	Ak8	1	1	1	1
AK9	AK9	ENSCJAG00000005643	Ak9	1	1	1	1
AKAIN1	AKAIN1	AKAIN1	Akain1	1	1	1	1
AKAP1	AKAP1	AKAP1	Akap1	1	1	1	1
AKAP10	AKAP10	AKAP10	Akap10	1	1	1	1
AKAP11	AKAP11	AKAP11	Akap11	1	1	1	1
AKAP12	AKAP12	AKAP12	Akap12	1	1	1	1
AKAP13	AKAP13	AKAP13	Akap13	1	1	1	1
AKAP14	AKAP14	AKAP14	Akap14	1	1	1	1
